"Setpoint","Settling Time","Overshoot","SSE","SAE"
20.0,0.508891105652,0,23546.572914,2063.16212873
-20.0,0.509521961212,5.82272529602,79184.413537,3161.9194414
20.0,0.575135946274,0,74022.8934211,3199.82327747
-20.0,0.521187067032,6.84204292297,78803.8156289,3192.78736019
20.0,0.576150178909,0,74164.9022343,3206.32910788
-20.0,0.500355005264,6.84204292297,78975.4096394,3182.24969786
20.0,0.565200090408,0,74361.0308311,3227.15517628
-20.0,0.527315139771,7.0198059082,78325.379489,3153.73809493
20.0,0.586863040924,0,74472.0059974,3259.82095259
-20.0,0.516304016113,6.84204292297,79583.8235963,3211.36680526
