"Setpoint","Settling Time","Overshoot","SSE","SAE"
20.0,0.224463939667,0,12571.8400502,1548.53511783
-20.0,0.772017002106,9.56514930725,37593.4539755,2018.91776025
20.0,0.241158008575,0,34228.4687584,2133.13209724
-20.0,0.760853052139,9.56514930725,37058.7959349,2020.13271844
20.0,0.225742101669,0,34351.8057351,2154.87191629
-20.0,0.78258895874,9.56514930725,37613.151595,2040.98875117
20.0,0.230479001999,0,34744.979406,2162.7018466
-20.0,0.204375982285,11.1449661255,38442.9207004,2105.37750268
20.0,0.700913906097,0,34114.6145479,2132.53444135
-20.0,0.787819862366,11.1449661255,37670.9258183,2056.26690495
