"Setpoint","Settling Time","Overshoot","SSE","SAE"
20.0,0.219321012497,0,15539.5171445,1966.40060458
-20.0,0.820495128632,11.1449661255,43032.4727941,2486.53936207
20.0,0.738672971725,0,40015.5060316,2759.62461436
-20.0,0.804691076279,11.1449661255,43523.8090572,2519.08388197
20.0,0.739463806152,0,39294.2615295,2725.16775477
-20.0,0.80441403389,11.1449661255,43276.0349504,2495.55307221
20.0,0.745088100433,0,39712.827986,2704.47817087
-20.0,0.798893928528,11.1449661255,44117.3332261,2512.78605986
20.0,0.757160902023,0,39582.8683924,2699.070948
-20.0,0.841903924942,11.1449661255,43205.8214196,2483.84822273
