"Setpoint","Settling Time","Overshoot","SSE","SAE"
20.0,0.297272920609,0,5382.11252044,650.898231371
-20.0,0.330640077591,1.24995040894,20857.9823881,866.917883396
20.0,0.472858905792,0,16295.345689,759.532670498
-20.0,0.167164087296,1.24995040894,16887.9574896,743.377292156
20.0,0.543614149094,0,15853.8449127,783.915079594
-20.0,1.01290893555,0.502466201782,17324.6834758,760.868188977
20.0,0.663744926453,0,14987.3030101,787.117729664
-20.0,0.166831970215,1.93543243408,19260.0174602,806.352472425
20.0,0.728949069977,0,16399.9512686,770.825241327
-20.0,0.128140926361,1.24995040894,18943.3320166,792.868822575


