"Setpoint","Settling Time","Overshoot","SSE","SAE"
20.0,0.108947038651,0,5148.00452097,630.339899684
-20.0,0.136454105377,1.13984680176,18929.2330594,987.154954195
20.0,1.79146909714,0,16264.9881118,1015.40641546
-20.0,2.99228405952,0.399953842163,20223.8890351,991.874920607
20.0,1.62790513039,0,16337.696168,1024.57748163
-20.0,0.151824951172,1.13984680176,20600.1054765,1002.86588168
20.0,2.11453604698,0,16391.7289161,1010.78703046
-20.0,0.157231807709,1.13984680176,20597.8049785,991.603784084
20.0,2.15191507339,0,16242.6188107,1013.51306546
-20.0,0.152614116669,1.13984680176,19130.3244338,992.826174736
